"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"J5","692122030100","Top","692122030100","37.7500","13.6725","0","Conn USB 3.0 Type A RCP 9 POS 1.25mm Solder RA SMD 9 Terminal 1 Port T/R"
"J4","692122030100","Top","692122030100","77.7500","13.6725","0","Conn USB 3.0 Type A RCP 9 POS 1.25mm Solder RA SMD 9 Terminal 1 Port T/R"
"J3","692122030100","Top","692122030100","57.7500","13.6725","0","Conn USB 3.0 Type A RCP 9 POS 1.25mm Solder RA SMD 9 Terminal 1 Port T/R"
"J2","12401610E4#2A","Top","FP-12401610E4#2A-MFG","19.7500","5.5950","0","CONN RCP USB3.1 TYPEC 24P SMD RA"
"J1","12401610E4#2A","Top","FP-12401610E4#2A-MFG","94.4050","35.0000","90","CONN RCP USB3.1 TYPEC 24P SMD RA"
"FB12","220 @ 100Mhz","Bottom","FP-BLM21-0_2-t0_85-e0_5-IPC_B","4.2164","26.6954","90","Chip Ferrite Bead, 0805, 220O @ 100MHz, 0.045O, 25%, 2A"
"FB11","220 @ 100Mhz","Bottom","FP-BLM21-0_2-t0_85-e0_5-IPC_B","29.0000","16.5000","270","Chip Ferrite Bead, 0805, 220O @ 100MHz, 0.045O, 25%, 2A"
"FB10","220 @ 100Mhz","Bottom","FP-BLM21-0_2-t0_85-e0_5-IPC_B","24.4778","44.6359","270","Chip Ferrite Bead, 0805, 220O @ 100MHz, 0.045O, 25%, 2A"
"FB9","220 @ 100Mhz","Bottom","FP-BLM21-0_2-t0_85-e0_5-IPC_B","69.0000","16.5000","270","Chip Ferrite Bead, 0805, 220O @ 100MHz, 0.045O, 25%, 2A"
"FB8","220 @ 100Mhz","Bottom","FP-BLM21-0_2-t0_85-e0_5-IPC_B","49.0000","16.5000","270","Chip Ferrite Bead, 0805, 220O @ 100MHz, 0.045O, 25%, 2A"
"FB7","220 @ 100Mhz","Bottom","FP-BLM21-0_2-t0_85-e0_5-IPC_B","13.0556","7.2390","0","Chip Ferrite Bead, 0805, 220O @ 100MHz, 0.045O, 25%, 2A"
"FB6","220 @ 100Mhz","Top","FP-BLM21-0_2-t0_85-e0_5-IPC_B","28.5242","23.5458","180","Chip Ferrite Bead, 0805, 220O @ 100MHz, 0.045O, 25%, 2A"
"FB5","220 @ 100Mhz","Bottom","FP-BLM21-0_2-t0_85-e0_5-IPC_B","30.4292","28.4480","180","Chip Ferrite Bead, 0805, 220O @ 100MHz, 0.045O, 25%, 2A"
"FB4","220 @ 100Mhz","Top","FP-BLM21-0_2-t0_85-e0_5-IPC_B","70.6250","42.3750","0","Chip Ferrite Bead, 0805, 220O @ 100MHz, 0.045O, 25%, 2A"
"FB3","220 @ 100Mhz","Bottom","FP-BLM21-0_2-t0_85-e0_5-IPC_B","68.5507","37.4000","0","Chip Ferrite Bead, 0805, 220O @ 100MHz, 0.045O, 25%, 2A"
"FB2","220 @ 100Mhz","Bottom","FP-BLM21-0_2-t0_85-e0_5-IPC_B","71.6492","45.5106","180","Chip Ferrite Bead, 0805, 220O @ 100MHz, 0.045O, 25%, 2A"
"FB1","220 @ 100Mhz","Bottom","FP-BLM21-0_2-t0_85-e0_5-IPC_B","63.2206","28.8036","180","Chip Ferrite Bead, 0805, 220O @ 100MHz, 0.045O, 25%, 2A"
"D14","SMAJ5.0A","Bottom","BOUR-SMA-2_V","37.6000","14.5000","180","SMAJ Transient Voltage Suppressor Diode Series, 3.5 V, -55 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel"
"D13","PUSB3FR4Z","Top","FP-SOT1176-1-MFG","43.7875","22.5000","270","TVS DIODE 3.3VWM 3VC DFN2510A-10"
"D12","SMAJ5.0A","Bottom","BOUR-SMA-2_V","77.6000","14.5000","180","SMAJ Transient Voltage Suppressor Diode Series, 3.5 V, -55 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel"
"D11","PUSB3FR4Z","Top","FP-SOT1176-1-MFG","74.7522","22.0000","0","TVS DIODE 3.3VWM 3VC DFN2510A-10"
"D10","SMAJ5.0A","Bottom","BOUR-SMA-2_V","57.6000","14.5000","180","SMAJ Transient Voltage Suppressor Diode Series, 3.5 V, -55 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel"
"D9","PUSB3FR4Z","Top","FP-SOT1176-1-MFG","54.7624","23.0378","0","TVS DIODE 3.3VWM 3VC DFN2510A-10"
"D8","PUSB3FR4Z","Top","FP-SOT1176-1-MFG","23.3000","12.5000","0","TVS DIODE 3.3VWM 3VC DFN2510A-10"
"D7","SMAJ5.0A","Bottom","BOUR-SMA-2_V","28.0000","4.8500","180","SMAJ Transient Voltage Suppressor Diode Series, 3.5 V, -55 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel"
"D6","PUSB3FR4Z","Top","FP-SOT1176-1-MFG","16.2000","12.5000","0","TVS DIODE 3.3VWM 3VC DFN2510A-10"
"D5","PUSB3FR4Z","Top","FP-SOT1176-1-MFG","86.6000","39.0000","90","TVS DIODE 3.3VWM 3VC DFN2510A-10"
"D4","PUSB3FR4Z","Top","FP-SOT1176-1-MFG","86.6000","31.0000","90","TVS DIODE 3.3VWM 3VC DFN2510A-10"
"D3","SMAJ5.0A","Bottom","BOUR-SMA-2_V","95.8342","27.3558","90","SMAJ Transient Voltage Suppressor Diode Series, 3.5 V, -55 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel"
"D2","Blue","Top","FP-LTST-C193TBKT-5A-MFG","16.2070","43.8940","90","LED BLUE CLEAR CHIP SMD LTST-C193TBKT-5A"
"D1","Green","Top","FP-LTST-C190KGKT-MFG","19.0570","43.8940","90","LED GREEN CLEAR CHIP SMD LTST-C193TGKT-5A"
"C78","10u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_B","13.6398","29.4640","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X7R, 15%, 10%, 25V"
"C77","100n","Bottom","FP-GRT155-0_05-IPC_C","11.9500","26.8214","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C76","10u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_B","13.6398","25.8572","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X7R, 15%, 10%, 25V"
"C75","47u","Top","WCAP-ASLL_D6.3H5.5","7.0000","12.5000","0","Alum. Electrolytic Cap 47UF 35V 5.5MMV-CHIP Wcap-asll, Lifetime 2000H +105OC"
"C74","47u","Top","WCAP-ASLL_D6.3H5.5","7.0000","20.5000","0","Alum. Electrolytic Cap 47UF 35V 5.5MMV-CHIP Wcap-asll, Lifetime 2000H +105OC"
"C73","100n","Bottom","FP-GRT155-0_05-IPC_C","5.5500","26.7786","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C72","100n","Bottom","FP-GRT155-0_05-IPC_C","6.5500","26.8000","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C71","4.7u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_A","4.2672","30.0990","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 4.7uF, X7R, 15%, 10%, 35V"
"C70","100n","Top","FP-GRT155-0_05-IPC_C","33.5256","19.6000","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C69","100n","Top","FP-GRT155-0_05-IPC_C","34.4756","19.6000","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C67","1u","Bottom","CAPC1608X90N","27.9908","13.2080","0","The superior mechanical strength and reliability due to the monolithic structure.  Low ESR, ESL and excellent frequency characteristics allow for a circuit design that closely conforms to theoretical values.  Low self-heating and high ripple resistance due to low ESR.  No polarity"
"C66","100n","Bottom","FP-GRT155-0_05-IPC_C","32.4358","43.1800","90","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C65","10u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_B","34.0868","44.1452","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X7R, 15%, 10%, 25V"
"C64","100n","Bottom","FP-GRT155-0_05-IPC_C","32.4358","41.5036","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C63","10u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_B","34.0868","40.5384","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X7R, 15%, 10%, 25V"
"C62","47u","Top","WCAP-ASLL_D6.3H5.5","93.0000","20.5000","180","Alum. Electrolytic Cap 47UF 35V 5.5MMV-CHIP Wcap-asll, Lifetime 2000H +105OC"
"C61","47u","Top","WCAP-ASLL_D6.3H5.5","93.0000","12.5000","180","Alum. Electrolytic Cap 47UF 35V 5.5MMV-CHIP Wcap-asll, Lifetime 2000H +105OC"
"C60","100n","Bottom","FP-GRT155-0_05-IPC_C","26.8778","41.3066","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C59","100n","Bottom","FP-GRT155-0_05-IPC_C","25.8778","41.3066","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C58","4.7u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_A","24.4778","41.2352","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 4.7uF, X7R, 15%, 10%, 35V"
"C57","100n","Top","FP-GRT155-0_05-IPC_C","73.5250","19.6000","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C56","100n","Top","FP-GRT155-0_05-IPC_C","74.4750","19.6000","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C55","100n","Bottom","FP-GRT155-0_05-IPC_C","68.1482","12.9750","180","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C54","1u","Bottom","CAPC1608X90N","68.0000","14.0000","0","The superior mechanical strength and reliability due to the monolithic structure.  Low ESR, ESL and excellent frequency characteristics allow for a circuit design that closely conforms to theoretical values.  Low self-heating and high ripple resistance due to low ESR.  No polarity"
"C53","100n","Top","FP-GRT155-0_05-IPC_C","53.5250","19.6000","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
